title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
One Punch Man,Original title: One Punch Man: Wanpanman,8.7,"Animation,Action,Comedy",2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa,Kaito Ishikawa,Max Mittelman",TV-PG,Japan,"Japanese,English",24m,25,600
The Mandalorian,,8.7,"Action,Adventure,Fantasy",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Jon Favreau,Pedro Pascal,Chris Bartlett,Katee Sackhoff",TV-14,United States,English,40m,24,960
The Simpsons,,8.7,"Animation,Comedy",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,"James L. Brooks,Matt Groening,Sam Simon,Dan Castellaneta,Nancy Cartwright,Harry Shearer",TV-14,United States,English,22m,751,16522
Gullak,,9.1,"Comedy,Drama,Family",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Shreyansh Pandey,Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta",,India,Hindi,,15,
Fleabag,,8.7,"Comedy,Drama",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman",TV-MA,United Kingdom,English,27m,12,324
Arrested Development,,8.7,Comedy,2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Mitchell Hurwitz,Jason Bateman,Michael Cera,Portia de Rossi",TV-14,United States,English,22m,84,1848
The Boys,,8.7,"Action,Comedy,Crime",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Eric Kripke,Karl Urban,Jack Quaid,Antony Starr",TV-MA,United States,English,1h,27,60
Steins;Gate,,8.8,"Animation,Comedy,Drama",2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano,Asami Imai,Kana Hanazawa",TV-14,Japan,"Japanese,English",24m,26,624
Dark,,8.7,"Crime,Drama,Mystery",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Baran bo Odar,Jantje Friese,Louis Hofmann,Karoline Eichhorn,Lisa Vicari",TV-MA,"Germany,United States",German,1h,26,60
Oz,,8.7,"Crime,Drama,Thriller",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Tom Fontana,Ernie Hudson,J.K. Simmons,Lee Tergesen",TV-MA,United States,English,55m,56,3080
Ted Lasso,,8.8,"Comedy,Drama,Sport",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","Brendan Hunt,Joe Kelly,Bill Lawrence,Jason Sudeikis,Brett Goldstein,Brendan Hunt",TV-MA,"United States,United Kingdom",English,30m,34,1020
Peaky Blinders,,8.8,"Crime,Drama",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Steven Knight,Cillian Murphy,Paul Anderson,Sophie Rundle",TV-MA,United Kingdom,"English,Romanian,Irish Gaelic,Italian,Yiddish,French",1h,36,60
Kota Factory,,9.0,"Comedy,Drama",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Saurabh Khanna,Mayur More,Jitendra Kumar,Ranjan Raj",TV-14,India,Hindi,45m,10,450
Rome,,8.7,"Action,Drama,Romance",2005–2007,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Bruno Heller,William J. MacDonald,John Milius,Kevin McKidd,Ray Stevenson,Polly Walker",TV-MA,"United Kingdom,United States",English,52m,22,1144
Six Feet Under,,8.7,"Comedy,Drama",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Alan Ball,Peter Krause,Michael C. Hall,Frances Conroy",TV-MA,United States,English,1h,63,60
Over the Garden Wall,,8.8,"Animation,Short,Adventure",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Katie Krentz,Patrick McHale,Elijah Wood,Collin Dean,Melanie Lynskey",TV-PG,United States,English,22m,10,220
