title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
Life,,9.1,Documentary,2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,"Oprah Winfrey,David Attenborough,Doug Allan",TV-G,"United Kingdom,United States,Greece,Italy,Germany",English,7h 53m,11,473
The Last Dance,,9.1,"Documentary,Biography,History",2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Michael Jordan,Phil Jackson,Scottie Pippen",TV-MA,United States,English,8h 11m,10,491
Fullmetal Alchemist: Brotherhood,Original title: Hagane no renkinjutsushi,9.1,"Animation,Action,Adventure",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Hiromu Arakawa,Kent Williams,Iemasa Kayumi,Matthew Leonhart",TV-14,Japan,Japanese,24m,68,1632
Rick and Morty,,9.1,"Animation,Adventure,Comedy",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Dan Harmon,Justin Roiland,Justin Roiland,Chris Parnell,Spencer Grammer",TV-14,United States,English,23m,61,1403
The World at War,,9.2,"Documentary,History,War",1973–1974,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Laurence Olivier,Averell Harriman,Albert Speer",TV-PG,United Kingdom,"English,German,French,Japanese",52m,26,1352
Game of Thrones,,9.2,"Action,Adventure,Drama",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","David Benioff,D.B. Weiss,Emilia Clarke,Peter Dinklage,Kit Harington",TV-MA,"United States,United Kingdom",English,57m,73,4161
Our Planet,,9.3,Documentary,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough,TV-G,"United States,United Kingdom",English,6h 43m,8,403
Cosmos,,9.3,Documentary,1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,"Ann Druyan,Carl Sagan,Steven Soter,Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",TV-PG,"United States,United Kingdom",English,13h,13,780
Cosmos: A Spacetime Odyssey,,9.3,Documentary,2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",TV-PG,United States,English,9h 17m,13,557
The Sopranos,,9.2,"Crime,Drama",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","David Chase,James Gandolfini,Lorraine Bracco,Edie Falco",TV-MA,United States,"English,Italian,Russian",55m,86,4730
Blue Planet II,,9.3,Documentary,2017,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","David Attenborough,Peter Drost,Roger Munns",TV-G,"United Kingdom,United States,China,France,Germany",English,6h 4m,7,364
Avatar: The Last Airbender,,9.3,"Animation,Action,Adventure",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Michael Dante DiMartino,Bryan Konietzko,Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",TV-Y7-FV,United States,English,23m,62,1426
The Wire,,9.3,"Crime,Drama,Thriller",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","David Simon,Dominic West,Lance Reddick,Sonja Sohn",TV-MA,United States,"English,Greek,Mandarin,Spanish",59m,60,3540
Chernobyl,,9.4,"Drama,History,Thriller",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Craig Mazin,Jessie Buckley,Jared Harris,Stellan Skarsgård",TV-MA,"United States,United Kingdom","English,Russian,Ukrainian",5h 30m,5,330
